sent,class,prev_lemma,prev_pos,next_lemma,next_pos,kw_1,kw_2,kw_6,kw_8,kw_9,kw_10,kw_11,kw_13,kw_14
text,1,cdjq,APRO=(dby,yf,PR=,0,0,0,0,0,0,0,0,0
text,1,cvjnhtnm,V,b,CONJ=,1,0,0,0,0,0,0,0,0
text,1,cdjtjNhfpysq,A=(lfn,lkz,PR=,0,0,0,0,0,0,0,0,0
text,1,ujhtnm,V,not_word,not_word,0,0,0,0,0,0,0,0,0
text,1,hswfhcrbq,A=(dby,b,CONJ=,0,0,0,0,0,0,0,0,0
text,1,pfobofnmcz,V,jn,PR=,0,0,0,0,0,0,0,0,0
text,1,nbcytybt,S,b,CONJ=,1,0,0,0,0,0,0,0,0
text,1,cvjnhtnm,V,b,CONJ=,1,0,0,0,0,0,0,0,0
text,1,r,PR=,tuj,APRO=(gh,0,0,0,0,0,0,0,0,0
text,1,vjq,APRO=(dby,hfpheifnm,V,0,0,0,0,0,0,0,0,0
text,1,cehjdsq,A=(lfn,lf,CONJ=,0,0,0,0,0,0,0,0,0
text,1,rfr,CONJ=,Nscnhj,ADV=,0,0,0,0,0,0,0,0,0
text,1,not_word,not_word,not_word,not_word,0,0,0,0,0,0,0,0,0
text,1,lfKt,PART=,ghbOjlbnmcz,V,0,0,0,0,0,0,0,0,0
text,1,hbvkzyby,S,not_word,not_word,0,0,0,0,0,0,0,0,0
text,1,yfltKysq,A=(dby,cjlheKtcndj,S,0,0,0,0,0,0,0,0,0
text,1,pfujhfKbdfnmcz,V,jn,PR=,0,0,0,0,0,0,0,0,0
text,1,Kbdjq,A=(dby,gjktdjq,A=(dby,1,0,0,0,0,0,0,0,0
text,1,Kbdjq,A=(gh,bp,PR=,1,0,0,0,0,0,0,0,0
text,1,pf,PR=,gjcskfnm,V=bya,0,0,0,0,0,0,0,0,0
text,1,cdjq,APRO=(gh,b,CONJ=,0,0,0,0,0,0,0,0,0
text,1,yf,PR=,rjgmt,S,1,0,0,0,0,0,0,0,0
text,1,Ntp,PR=,gecntnm,V,0,0,0,0,0,0,0,0,0
text,1,b,CONJ=,d,PR=,1,0,0,0,0,0,0,0,0
text,1,cdjq,APRO=(dby,elfh,S,0,0,0,0,0,0,0,0,0
text,1,jy,SPRO,ktKfnm,V,1,0,0,1,0,0,0,0,0
text,1,cnfhbyysq,A=(dby,b,CONJ=,0,0,0,0,0,0,0,0,0
text,1,cjNcndtyysq,A=(dby,not_word,not_word,0,0,0,0,0,0,0,0,0
text,1,rfrjq-nj,APRO=(lfn,pfrhsdfnmcz,V,0,0,0,0,0,0,0,0,0
text,1,yf,PR=,djpdhfofnmcz,V,0,0,0,0,0,0,0,0,0
text,1,yfpdfybt,S,b,CONJ=,1,0,0,1,0,0,0,0,0
text,1,bvtlysq,A=(dby,not_word,not_word,1,0,0,0,0,0,0,0,0
text,1,vehfirb,S,jnxeKltybt,S,0,0,0,0,0,0,0,0,0
text,1,vznm,V,dtlthrj,S,1,0,0,0,0,0,0,0,0
text,1,lthKfnm,V,vtKle,PR=,0,0,0,0,0,0,0,0,0
text,1,ytghbzntkmcrbq,A=(lfn,not_word,not_word,0,0,0,1,0,0,0,0,0
text,1,rheuksq,A=(dby,not_word,not_word,1,0,0,0,0,0,0,0,0
text,1,rhfcysq,A=(gh,not_word,not_word,0,0,0,0,0,0,0,0,0
text,1,Ktktpysq,A=(dby,cj,PR=,0,0,0,0,0,0,0,0,0
text,1,dblytnmcz,V,yf,PR=,0,0,0,0,0,0,0,0,0
text,1,vfcnthbnm,V,b,CONJ=,0,0,0,0,0,0,0,0,0
text,1,lthtdzyysq,A=(dby,cfNkz,S,0,1,0,0,0,0,0,0,0
text,1,cdjq,APRO=(dby,vtx,S,1,0,0,0,0,0,0,0,0
text,1,Kbdjq,A=(lfn,yf,PR=,1,0,0,0,0,0,0,0,0
text,1,yf,PR=,ufptnf,S,0,0,0,0,0,0,0,0,0
text,1,yf,PR=,gjllthKrf,S,0,0,0,0,0,0,0,0,0
text,1,fccjwbfwbz,S,b,CONJ=,1,0,0,0,0,0,0,0,0
text,1,heccrbq,S,Mhbq,S,0,0,0,0,0,0,0,0,0
text,1,heccrbq,A=(dby,ytrjvvthxtcrbq,A=bv,0,0,0,0,0,0,0,0,0
text,1,heccrbq,S,Mhbq,S,0,0,0,0,0,0,0,0,0
text,1,djcgjkmpjdfnmcz,V,d,PR=,0,0,0,0,0,0,0,0,0
text,1,yf,PR=,drfxtcndj,S,0,0,0,0,0,0,0,0,0
text,1,yf,PR=,not_word,not_word,0,0,0,0,0,0,0,0,0
text,1,not_word,not_word,hjlbyf,S,0,0,0,0,0,0,0,0,0
text,1,djkitNysq,A=(dby,ythfpdbnjcnm,S,0,0,0,0,0,0,0,0,0
text,1,yfltKysq,A=(lfn,yj,CONJ=,0,0,0,0,0,0,0,0,0
text,1,rfr,CONJ=,dsNbdfnm,V,0,0,0,0,0,0,0,0,0
text,1,yf,PR=,leO,S,0,0,0,0,0,0,0,0,0
text,1,lshzdsq,A=(lfn,lkz,PR=,1,0,0,0,0,0,0,0,0
